DATE,CPIAUCSL_NBD19870101
1947,19.65527
1948,21.16327
1949,20.9557
1950,21.17867
1951,22.8605
1952,23.38272
1953,23.56022
1954,23.6453
1955,23.58442
1956,23.93208
1957,24.74402
1958,25.41954
1959,25.65645
1960,26.03931
1961,26.31803
1962,26.62755
1963,26.96201
1964,27.31847
1965,27.74974
1966,28.57929
1967,29.37509
1968,30.62197
1969,32.28693
1970,34.18659
1971,35.63151
1972,36.79771
1973,39.10078
1974,43.40619
1975,47.37421
1976,50.11002
1977,53.35191
1978,57.42262
1979,63.88441
1980,72.5099
1981,80.03521
1982,84.96406
1983,87.64853
1984,91.47719
1985,94.70442
1986,96.5454
1987,100
1988,104.10004
1989,109.08758
1990,114.99927
1991,119.84744
1992,123.49274
1993,127.16004
1994,130.46061
1995,134.12058
1996,138.05926
1997,141.28649
1998,143.4722
1999,146.61875
2000,151.55494
2001,155.82368
2002,158.31011
2003,161.94807
2004,166.26815
2005,171.86446
2006,177.40208
2007,182.4945
2008,189.45658
2009,188.84964
2010,191.9403
2011,197.96655
2012,202.07078
2013,205.03308
2014,208.34531
2015,208.59425
2016,211.24344
2017,215.75546
2018,221.00998